# Precision @ 118: 0.23728813559322035
###############################################################
# k Precision
1 1.0
16 1.0
17 0.9411764705882353
18 0.8888888888888888
19 0.8421052631578947
20 0.8
21 0.8095238095238095
22 0.8181818181818182
23 0.8260869565217391
24 0.7916666666666666
25 0.76
26 0.7307692307692307
27 0.7037037037037037
28 0.6785714285714286
29 0.6551724137931034
30 0.6333333333333333
31 0.6129032258064516
32 0.59375
33 0.6060606060606061
34 0.5882352941176471
35 0.5714285714285714
36 0.5555555555555556
37 0.5405405405405406
38 0.5263157894736842
39 0.5128205128205128
40 0.5
41 0.4878048780487805
42 0.47619047619047616
43 0.4883720930232558
44 0.5
45 0.4888888888888889
46 0.4782608695652174
47 0.46808510638297873
48 0.4583333333333333
49 0.4489795918367347
50 0.44
51 0.43137254901960786
52 0.4423076923076923
53 0.4528301886792453
54 0.4444444444444444
55 0.43636363636363634
56 0.42857142857142855
57 0.42105263157894735
58 0.41379310344827586
59 0.4067796610169492
60 0.4
61 0.39344262295081966
62 0.3870967741935484
63 0.38095238095238093
64 0.375
65 0.36923076923076925
66 0.36363636363636365
67 0.3582089552238806
68 0.35294117647058826
69 0.34782608695652173
70 0.34285714285714286
71 0.3380281690140845
72 0.3333333333333333
73 0.3287671232876712
74 0.32432432432432434
75 0.32
76 0.3157894736842105
77 0.3116883116883117
78 0.3076923076923077
79 0.3037974683544304
80 0.3125
81 0.30864197530864196
82 0.3048780487804878
83 0.30120481927710846
84 0.2976190476190476
85 0.29411764705882354
86 0.29069767441860467
87 0.28735632183908044
88 0.2840909090909091
89 0.2808988764044944
90 0.28888888888888886
91 0.2857142857142857
92 0.2826086956521739
93 0.2903225806451613
94 0.2872340425531915
95 0.28421052631578947
96 0.28125
97 0.27835051546391754
98 0.2755102040816326
99 0.2727272727272727
100 0.27
101 0.26732673267326734
102 0.2647058823529412
103 0.2621359223300971
104 0.25961538461538464
105 0.2571428571428571
106 0.25471698113207547
107 0.2523364485981308
108 0.25
109 0.24770642201834864
110 0.24545454545454545
111 0.24324324324324326
112 0.25
113 0.24778761061946902
114 0.24561403508771928
115 0.24347826086956523
116 0.2413793103448276
117 0.23931623931623933
118 0.23728813559322035
