# Precision @ 20: 0.5
###############################################################
# k Precision
1 1.0
8 1.0
9 0.8888888888888888
10 0.9
11 0.9090909090909091
12 0.8333333333333334
13 0.7692307692307693
14 0.7142857142857143
15 0.6666666666666666
16 0.625
17 0.5882352941176471
18 0.5555555555555556
19 0.5263157894736842
20 0.5
