# Precision @ 118: 0.288135593220339
###############################################################
# k Precision
1 1.0
23 1.0
24 0.9583333333333334
25 0.96
26 0.9230769230769231
27 0.9259259259259259
28 0.9285714285714286
29 0.896551724137931
30 0.8666666666666667
31 0.8709677419354839
32 0.84375
33 0.8181818181818182
34 0.7941176470588235
35 0.7714285714285715
36 0.75
37 0.7297297297297297
38 0.7105263157894737
39 0.6923076923076923
40 0.675
41 0.6585365853658537
42 0.6428571428571429
43 0.627906976744186
44 0.6136363636363636
45 0.6
46 0.6086956521739131
47 0.5957446808510638
48 0.5833333333333334
49 0.5714285714285714
50 0.56
51 0.5490196078431373
52 0.5384615384615384
53 0.5283018867924528
54 0.5185185185185185
55 0.509090909090909
56 0.5
57 0.49122807017543857
58 0.4827586206896552
59 0.4745762711864407
60 0.48333333333333334
61 0.47540983606557374
62 0.46774193548387094
63 0.4603174603174603
64 0.453125
65 0.46153846153846156
66 0.45454545454545453
67 0.44776119402985076
68 0.4411764705882353
69 0.43478260869565216
70 0.44285714285714284
71 0.43661971830985913
72 0.4305555555555556
73 0.4246575342465753
74 0.4189189189189189
75 0.4266666666666667
76 0.42105263157894735
77 0.4155844155844156
78 0.41025641025641024
79 0.4050632911392405
80 0.4
81 0.3950617283950617
82 0.4024390243902439
83 0.39759036144578314
84 0.39285714285714285
85 0.38823529411764707
86 0.38372093023255816
87 0.3793103448275862
88 0.375
89 0.3707865168539326
90 0.36666666666666664
91 0.37362637362637363
92 0.3695652173913043
93 0.3655913978494624
94 0.3617021276595745
95 0.35789473684210527
96 0.3541666666666667
97 0.35051546391752575
98 0.3469387755102041
99 0.3434343434343434
100 0.34
101 0.33663366336633666
102 0.3333333333333333
103 0.3300970873786408
104 0.3269230769230769
105 0.3238095238095238
106 0.32075471698113206
107 0.3177570093457944
108 0.3148148148148148
109 0.3119266055045872
110 0.3090909090909091
111 0.3063063063063063
112 0.30357142857142855
113 0.3008849557522124
114 0.2982456140350877
115 0.2956521739130435
116 0.29310344827586204
117 0.2905982905982906
118 0.288135593220339
