# Precision @ 118: 0.2711864406779661
###############################################################
# k Precision
1 1.0
17 1.0
18 0.9444444444444444
19 0.8947368421052632
20 0.85
21 0.8095238095238095
22 0.7727272727272727
23 0.7391304347826086
24 0.7083333333333334
25 0.68
26 0.6538461538461539
27 0.6296296296296297
28 0.6071428571428571
29 0.5862068965517241
30 0.6
31 0.5806451612903226
32 0.5625
33 0.5757575757575758
34 0.5588235294117647
35 0.5428571428571428
36 0.5277777777777778
37 0.5135135135135135
38 0.5263157894736842
39 0.5384615384615384
40 0.525
41 0.5121951219512195
42 0.5
43 0.4883720930232558
44 0.4772727272727273
45 0.4666666666666667
46 0.45652173913043476
47 0.44680851063829785
48 0.4583333333333333
49 0.46938775510204084
50 0.46
51 0.45098039215686275
52 0.46153846153846156
53 0.4528301886792453
54 0.4444444444444444
55 0.43636363636363634
56 0.42857142857142855
57 0.42105263157894735
58 0.41379310344827586
59 0.4067796610169492
60 0.4
61 0.39344262295081966
62 0.3870967741935484
63 0.3968253968253968
64 0.390625
65 0.38461538461538464
66 0.3787878787878788
67 0.373134328358209
68 0.36764705882352944
69 0.36231884057971014
70 0.37142857142857144
71 0.36619718309859156
72 0.3611111111111111
73 0.3561643835616438
74 0.35135135135135137
75 0.3466666666666667
76 0.34210526315789475
77 0.33766233766233766
78 0.3333333333333333
79 0.3291139240506329
80 0.325
81 0.32098765432098764
82 0.3170731707317073
83 0.3253012048192771
84 0.32142857142857145
85 0.3176470588235294
86 0.313953488372093
87 0.3103448275862069
88 0.3068181818181818
89 0.30337078651685395
90 0.3
91 0.2967032967032967
92 0.29347826086956524
93 0.2903225806451613
94 0.2978723404255319
95 0.29473684210526313
96 0.2916666666666667
97 0.28865979381443296
98 0.2857142857142857
99 0.2828282828282828
100 0.28
101 0.27722772277227725
102 0.27450980392156865
103 0.27184466019417475
104 0.2692307692307692
105 0.26666666666666666
106 0.27358490566037735
107 0.2803738317757009
108 0.28703703703703703
109 0.28440366972477066
110 0.2818181818181818
111 0.27927927927927926
112 0.2767857142857143
113 0.2743362831858407
114 0.2719298245614035
115 0.26956521739130435
116 0.2672413793103448
117 0.26495726495726496
118 0.2711864406779661
