# PR-AUC: 0.06861797723588584
# Recall Precision
0.0 0.0
0.005 0.5
0.01 0.6666666666666666
0.01 0.2857142857142857
0.015 0.375
0.02 0.4444444444444444
0.02 0.16
0.025 0.19230769230769232
0.03 0.2222222222222222
0.035 0.25
0.035 0.21875
0.04 0.24242424242424243
0.04 0.2
0.045 0.21951219512195122
0.045 0.20930232558139536
0.05 0.22727272727272727
0.055 0.24444444444444444
0.06 0.2608695652173913
0.06 0.2553191489361702
0.065 0.2708333333333333
0.07 0.2857142857142857
0.07 0.1728395061728395
0.075 0.18292682926829268
0.08 0.1927710843373494
0.08 0.18823529411764706
0.085 0.19767441860465115
0.085 0.19318181818181818
0.09 0.20224719101123595
0.095 0.2111111111111111
0.095 0.1958762886597938
0.1 0.20408163265306123
0.1 0.19607843137254902
0.105 0.20388349514563106
0.105 0.20192307692307693
0.11 0.20952380952380953
0.11 0.2
0.115 0.2072072072072072
0.115 0.20353982300884957
0.12 0.21052631578947367
0.125 0.21739130434782608
0.13 0.22413793103448276
0.135 0.23076923076923078
0.135 0.22131147540983606
0.14 0.22764227642276422
0.14 0.22580645161290322
0.145 0.232
0.145 0.2230769230769231
0.15 0.22900763358778625
0.155 0.23484848484848486
0.155 0.23308270676691728
0.16 0.23880597014925373
0.16 0.2318840579710145
0.165 0.23741007194244604
0.165 0.22297297297297297
0.17 0.22818791946308725
0.17 0.2236842105263158
0.175 0.22875816993464052
0.175 0.22727272727272727
0.18 0.23225806451612904
0.18 0.22929936305732485
0.185 0.23417721518987342
0.185 0.22289156626506024
0.19 0.2275449101796407
0.19 0.19095477386934673
0.195 0.195
0.195 0.18840579710144928
0.2 0.19230769230769232
0.2 0.19138755980861244
0.205 0.19523809523809524
0.21 0.1990521327014218
0.21 0.19718309859154928
0.215 0.20093457943925233
0.215 0.19907407407407407
0.22 0.20276497695852536
0.22 0.19642857142857142
0.225 0.2
0.225 0.19911504424778761
0.23 0.2026431718061674
0.235 0.20614035087719298
0.24 0.2096069868995633
0.245 0.21304347826086956
0.25 0.21645021645021645
0.255 0.21982758620689655
0.255 0.21338912133891214
0.26 0.21666666666666667
0.26 0.2157676348547718
0.265 0.2190082644628099
0.265 0.21810699588477367
0.27 0.22131147540983606
0.27 0.19217081850533807
0.275 0.1950354609929078
0.275 0.18032786885245902
0.28 0.1830065359477124
0.28 0.17777777777777778
0.285 0.18037974683544303
0.285 0.15079365079365079
0.29 0.15303430079155672
0.29 0.009240082842122032
0.3 0.009555661729574774
0.3 0.00883912787271656
0.325 0.009568673634623878
0.325 0.008706134476292525
0.375 0.010032102728731942
0.375 0.007444168734491315
1.0 0.0
