# Precision @ 118: 0.2796610169491525
###############################################################
# k Precision
1 1.0
19 1.0
20 0.95
21 0.9047619047619048
22 0.8636363636363636
23 0.8260869565217391
24 0.7916666666666666
25 0.76
26 0.7307692307692307
27 0.7037037037037037
28 0.6785714285714286
29 0.6551724137931034
30 0.6333333333333333
31 0.6129032258064516
32 0.59375
33 0.5757575757575758
34 0.5882352941176471
35 0.5714285714285714
36 0.5555555555555556
37 0.5405405405405406
38 0.5263157894736842
39 0.5384615384615384
40 0.525
41 0.5121951219512195
42 0.5238095238095238
43 0.5116279069767442
44 0.5
45 0.5111111111111111
46 0.5
47 0.48936170212765956
48 0.4791666666666667
49 0.4897959183673469
50 0.48
51 0.47058823529411764
52 0.46153846153846156
53 0.4528301886792453
54 0.4444444444444444
55 0.45454545454545453
56 0.44642857142857145
57 0.43859649122807015
58 0.43103448275862066
59 0.423728813559322
60 0.4166666666666667
61 0.4098360655737705
62 0.4032258064516129
63 0.3968253968253968
64 0.40625
65 0.4
66 0.4090909090909091
67 0.40298507462686567
68 0.4117647058823529
69 0.4057971014492754
70 0.4
71 0.39436619718309857
72 0.3888888888888889
73 0.3835616438356164
74 0.3918918918918919
75 0.38666666666666666
76 0.3815789473684211
77 0.37662337662337664
78 0.38461538461538464
79 0.379746835443038
80 0.375
81 0.38271604938271603
82 0.3780487804878049
83 0.37349397590361444
84 0.36904761904761907
85 0.36470588235294116
86 0.36046511627906974
87 0.3563218390804598
88 0.3522727272727273
89 0.34831460674157305
90 0.34444444444444444
91 0.34065934065934067
92 0.33695652173913043
93 0.34408602150537637
94 0.3404255319148936
95 0.3368421052631579
96 0.3333333333333333
97 0.32989690721649484
98 0.32653061224489793
99 0.32323232323232326
100 0.32
101 0.31683168316831684
102 0.3137254901960784
103 0.3106796116504854
104 0.3076923076923077
105 0.3047619047619048
106 0.3113207547169811
107 0.308411214953271
108 0.3055555555555556
109 0.30275229357798167
110 0.3
111 0.2972972972972973
112 0.29464285714285715
113 0.2920353982300885
114 0.2894736842105263
115 0.28695652173913044
116 0.28448275862068967
117 0.28205128205128205
118 0.2796610169491525
