# PR-AUC: 0.19998564352834153
# Recall Precision
0.0 0.0
0.0025 0.5
0.005 0.6666666666666666
0.0075 0.75
0.01 0.8
0.01 0.6666666666666666
0.0125 0.7142857142857143
0.0125 0.15151515151515152
0.015 0.17647058823529413
0.015 0.16216216216216217
0.0175 0.18421052631578946
0.02 0.20512820512820512
0.0225 0.225
0.0225 0.21428571428571427
0.025 0.23255813953488372
0.0275 0.25
0.03 0.26666666666666666
0.0325 0.2826086956521739
0.035 0.2978723404255319
0.035 0.2916666666666667
0.0375 0.30612244897959184
0.0375 0.3
0.04 0.3137254901960784
0.0425 0.3269230769230769
0.0425 0.32075471698113206
0.045 0.3333333333333333
0.0475 0.34545454545454546
0.05 0.35714285714285715
0.0525 0.3684210526315789
0.0525 0.3620689655172414
0.055 0.3728813559322034
0.0575 0.38333333333333336
0.06 0.39344262295081966
0.06 0.38095238095238093
0.0625 0.390625
0.065 0.4
0.0675 0.4090909090909091
0.0675 0.40298507462686567
0.07 0.4117647058823529
0.0725 0.42028985507246375
0.0725 0.4142857142857143
0.075 0.4225352112676056
0.075 0.4166666666666667
0.0775 0.4246575342465753
0.08 0.43243243243243246
0.08 0.4266666666666667
0.0825 0.4342105263157895
0.0825 0.42857142857142855
0.085 0.4358974358974359
0.0875 0.4430379746835443
0.09 0.45
0.0925 0.4567901234567901
0.0925 0.4457831325301205
0.095 0.4523809523809524
0.095 0.4318181818181818
0.0975 0.43820224719101125
0.0975 0.42391304347826086
0.1 0.43010752688172044
0.1 0.425531914893617
0.1025 0.43157894736842106
0.105 0.4375
0.105 0.4329896907216495
0.1075 0.4387755102040816
0.11 0.4444444444444444
0.1125 0.45
0.115 0.45544554455445546
0.115 0.45098039215686275
0.1175 0.4563106796116505
0.12 0.46153846153846156
0.12 0.4485981308411215
0.1225 0.4537037037037037
0.125 0.45871559633027525
0.1275 0.4636363636363636
0.13 0.46846846846846846
0.1325 0.4732142857142857
0.1325 0.4690265486725664
0.135 0.47368421052631576
0.135 0.453781512605042
0.1375 0.4583333333333333
0.1375 0.45081967213114754
0.14 0.45528455284552843
0.14 0.43410852713178294
0.1425 0.43846153846153846
0.1425 0.42857142857142855
0.145 0.43283582089552236
0.1475 0.43703703703703706
0.15 0.4411764705882353
0.1525 0.44525547445255476
0.155 0.4492753623188406
0.155 0.44285714285714284
0.1575 0.44680851063829785
0.16 0.4507042253521127
0.16 0.44755244755244755
0.1625 0.4513888888888889
0.165 0.45517241379310347
0.1675 0.4589041095890411
0.17 0.46258503401360546
0.1725 0.46621621621621623
0.175 0.4697986577181208
0.175 0.46357615894039733
0.1775 0.46710526315789475
0.1775 0.46405228758169936
0.18 0.4675324675324675
0.18 0.4645161290322581
0.1825 0.46794871794871795
0.185 0.4713375796178344
0.1875 0.47468354430379744
0.19 0.4779874213836478
0.19 0.4720496894409938
0.1925 0.47530864197530864
0.195 0.4785276073619632
0.195 0.47560975609756095
0.1975 0.47878787878787876
0.2 0.4819277108433735
0.2 0.47904191616766467
0.2025 0.48214285714285715
0.205 0.48520710059171596
0.2075 0.48823529411764705
0.21 0.49122807017543857
0.2125 0.4941860465116279
0.2125 0.4913294797687861
0.215 0.4942528735632184
0.2175 0.49714285714285716
0.22 0.5
0.2225 0.5028248587570622
0.225 0.5056179775280899
0.225 0.5027932960893855
0.2275 0.5055555555555555
0.23 0.5082872928176796
0.23 0.5054945054945055
0.2325 0.5081967213114754
0.2325 0.5054347826086957
0.235 0.5081081081081081
0.2375 0.510752688172043
0.24 0.5133689839572193
0.2425 0.5159574468085106
0.2425 0.5132275132275133
0.245 0.5157894736842106
0.2475 0.518324607329843
0.25 0.5208333333333334
0.25 0.5181347150259067
0.2525 0.520618556701031
0.255 0.5230769230769231
0.2575 0.5255102040816326
0.26 0.5279187817258884
0.2625 0.5303030303030303
0.265 0.5326633165829145
0.2675 0.535
0.27 0.5373134328358209
0.2725 0.5396039603960396
0.275 0.541871921182266
0.2775 0.5441176470588235
0.2775 0.5414634146341464
0.28 0.5436893203883495
0.2825 0.5458937198067633
0.2825 0.5355450236966824
0.285 0.5377358490566038
0.285 0.5327102803738317
0.2875 0.5348837209302325
0.29 0.5370370370370371
0.29 0.5296803652968036
0.2925 0.5318181818181819
0.295 0.5339366515837104
0.295 0.5244444444444445
0.2975 0.5265486725663717
0.2975 0.5242290748898678
0.3 0.5263157894736842
0.3025 0.5283842794759825
0.305 0.5304347826086957
0.3075 0.5324675324675324
0.3075 0.5301724137931034
0.31 0.5321888412017167
0.31 0.5299145299145299
0.3125 0.5319148936170213
0.3125 0.3071253071253071
0.315 0.3088235294117647
0.315 0.17647058823529413
0.3175 0.17762237762237762
0.3175 0.15601965601965603
0.32 0.1570552147239264
0.32 0.05161290322580645
0.3225 0.05199516324062878
0.3225 0.042420256494574156
0.875 0.1072961373390558
1.0 0.12077294685990338
1.0 0.0
