# PR-AUC: 0.42995196852955475
# Recall Precision
0.1111111111111111 1.0
0.1111111111111111 0.5
0.2222222222222222 0.6666666666666666
0.2222222222222222 0.5
0.3333333333333333 0.6
0.3333333333333333 0.42857142857142855
0.4444444444444444 0.5
0.4444444444444444 0.4444444444444444
0.5555555555555556 0.5
0.5555555555555556 0.38461538461538464
0.6666666666666666 0.42857142857142855
0.6666666666666666 0.3
0.7777777777777778 0.3333333333333333
0.8888888888888888 0.36363636363636365
0.8888888888888888 0.2857142857142857
1.0 0.3103448275862069
1.0 0.0
